[INFO] [1783910573.778481426] [orange_hurdle_jump_test]: state=DETECTOR_ONLY
[INFO] [1783910573.779014532] [orange_hurdle_jump_test]: orange_hurdle_jump_test started: color=/camera/color/image_raw, depth=/camera/aligned_depth_to_color/image_raw, detector_only=True, serial=/dev/ttyUSB0@115200, trigger_distance=0.58m, walk=[0,1.000,1.000], stand=[0,0.000,0.000], jump=[4,0.000,0.000]
[INFO] [1783910574.535200763] [orange_hurdle_jump_test]: [1;95m触发状态更新: trigger=True[0m
[INFO] [1783910574.536963313] [orange_hurdle_jump_test]: [1;34m最近横栏: dist=0.358m, lateral=0.002m, vertical=0.019m, pixel=(215.3,133.1), box=424x240, depth_px=10325, candidates=1, trigger=True[0m
[INFO] [1783910574.799313513] [orange_hurdle_jump_test]: [1;34m最近横栏: dist=0.373m, lateral=-0.017m, vertical=0.018m, pixel=(199.4,131.3), box=424x240, depth_px=53610, candidates=1, trigger=True[0m
[INFO] [1783910575.000483936] [orange_hurdle_jump_test]: [1;34m最近横栏: dist=0.501m, lateral=-0.034m, vertical=0.028m, pixel=(192.9,133.6), box=424x240, depth_px=47626, candidates=1, trigger=True[0m
[INFO] [1783910575.065371428] [orange_hurdle_jump_test]: [1;95m触发状态更新: trigger=False[0m
[INFO] [1783910575.267547155] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=12, mask_px=82521, contours=4, largest=area:88253,box:424x240,aspect:1.77,reject:top_edge:-0.208m(err=-0.208), hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783910575.466954702] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=15, mask_px=80145, contours=7, largest=area:81593,box:424x240,aspect:1.77,reject:top_edge:-0.208m(err=-0.208), hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783910575.665997192] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=18, mask_px=77738, contours=5, largest=area:82922,box:424x240,aspect:1.77,reject:top_edge:-0.203m(err=-0.203), hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783910575.798925443] [orange_hurdle_jump_test]: [1;95m触发状态更新: trigger=True[0m
[INFO] [1783910575.867678930] [orange_hurdle_jump_test]: [1;34m最近横栏: dist=0.511m, lateral=0.006m, vertical=0.034m, pixel=(216.6,137.0), box=424x240, depth_px=16159, candidates=1, trigger=True[0m
[INFO] [1783910576.066358867] [orange_hurdle_jump_test]: [1;34m最近横栏: dist=0.494m, lateral=-0.013m, vertical=0.043m, pixel=(205.0,143.5), box=424x240, depth_px=13611, candidates=1, trigger=True[0m
