[INFO] [1783753066.846604382] [laserMapping]: IMU Initializing: 1.0 %
[WARN] [1783753066.846741917] [laserMapping]: Reset ImuProcess
[WARN] [1783753066.896651749] [laserMapping]: Long Livox scan detected (31.2 ms span). Enabling adaptive 20 ms subframe splitting.
[INFO] [1783753066.897196847] [laserMapping]: IMU Initializing: 4.0 %
[INFO] [1783753066.900956197] [laserMapping]: IMU Initializing: 17.0 %
[INFO] [1783753066.946373928] [laserMapping]: IMU Initializing: 37.0 %
[INFO] [1783753066.997963354] [laserMapping]: IMU Initializing: 60.0 %
[INFO] [1783753067.011126126] [laserMapping]: IMU Initializing: 94.0 %
[ERROR] [1783753085.043824196] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.049443212] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.053796838] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.059448293] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.063869045] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.069752587] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.073503192] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.079635524] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.083638101] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.089473906] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.093790420] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.099598506] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.103799147] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.109589965] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.113464327] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.119313225] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.123552785] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.129359675] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.134069654] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.139599415] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.144002000] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.149588433] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.153734844] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.159447608] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.163558470] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.169315952] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.173992054] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.179684257] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753085.184010941] [laserMapping]: imu loop back, clear deque
