[WARN] [1783734042.076904036] [laserMapping]: Long Livox scan detected (50.2 ms span). Enabling adaptive 20 ms subframe splitting.
[INFO] [1783734042.117475555] [laserMapping]: IMU Initializing: 1.0 %
[WARN] [1783734042.117510733] [laserMapping]: Reset ImuProcess
[INFO] [1783734042.119069335] [laserMapping]: IMU Initializing: 17.0 %
[INFO] [1783734042.121056860] [laserMapping]: IMU Initializing: 42.0 %
[INFO] [1783734042.125886934] [laserMapping]: IMU Initializing: 73.0 %
[INFO] [1783734042.125934984] [laserMapping]: IMU Initializing: 100.0 %
[ERROR] [1783734131.320071220] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.324744053] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.329143405] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.334597705] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.338941026] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.344859645] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.349126771] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.354751933] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.358853605] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.364874519] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.369544614] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.374630132] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.378878079] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.385962806] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.388784604] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.394849331] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.398884411] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.404777771] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.408973311] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.414324977] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.418705848] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.424850818] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.429390821] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.434587022] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.439031670] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.444821839] [laserMapping]: imu loop back, clear deque
[ERROR] [1783734131.449470747] [laserMapping]: imu loop back, clear deque
