[WARN] [1783998430.513198922] [apriltag.apriltag]: camera_diag: img_age=0.109097s, ci_age=0.109097s, img_ci_skew=0.000000s, detect_ms=227.551288, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998466.231005738] [apriltag.apriltag]: camera_diag: img_age=0.005454s, ci_age=0.005454s, img_ci_skew=0.000000s, detect_ms=6.116887, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998467.467458294] [apriltag.apriltag]: camera_diag: img_age=0.028217s, ci_age=0.028217s, img_ci_skew=0.000000s, detect_ms=5.867339, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998468.654740378] [apriltag.apriltag]: camera_diag: img_age=0.053019s, ci_age=0.053019s, img_ci_skew=0.000000s, detect_ms=9.912305, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998469.704297507] [apriltag.apriltag]: camera_diag: img_age=0.072481s, ci_age=0.072481s, img_ci_skew=0.000000s, detect_ms=6.569070, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998470.763569701] [apriltag.apriltag]: camera_diag: img_age=0.090469s, ci_age=0.090469s, img_ci_skew=0.000000s, detect_ms=10.378404, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998471.882657710] [apriltag.apriltag]: camera_diag: img_age=0.105623s, ci_age=0.105623s, img_ci_skew=0.000000s, detect_ms=6.552030, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998472.940754890] [apriltag.apriltag]: camera_diag: img_age=0.115936s, ci_age=0.115936s, img_ci_skew=0.000000s, detect_ms=6.200866, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998474.132150210] [apriltag.apriltag]: camera_diag: img_age=0.121285s, ci_age=0.121285s, img_ci_skew=0.000000s, detect_ms=5.463505, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998475.325523973] [apriltag.apriltag]: camera_diag: img_age=0.118778s, ci_age=0.118778s, img_ci_skew=0.000000s, detect_ms=5.555920, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998476.389274594] [apriltag.apriltag]: camera_diag: img_age=0.111670s, ci_age=0.111670s, img_ci_skew=0.000000s, detect_ms=7.518159, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998477.450477752] [apriltag.apriltag]: camera_diag: img_age=0.105532s, ci_age=0.105532s, img_ci_skew=0.000000s, detect_ms=6.040776, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998478.579413969] [apriltag.apriltag]: camera_diag: img_age=0.099960s, ci_age=0.099960s, img_ci_skew=0.000000s, detect_ms=5.416314, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998479.647778454] [apriltag.apriltag]: camera_diag: img_age=0.095372s, ci_age=0.095372s, img_ci_skew=0.000000s, detect_ms=10.213606, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783998480.709422768] [apriltag.apriltag]: camera_diag: img_age=0.092214s, ci_age=0.092214s, img_ci_skew=0.000000s, detect_ms=6.763661, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
