[WARN] [1783994864.273304522] [apriltag.apriltag]: camera_diag: img_age=0.067412s, ci_age=0.067412s, img_ci_skew=0.000000s, detect_ms=225.216887, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994921.716479776] [apriltag.apriltag]: camera_diag: img_age=0.099925s, ci_age=0.099925s, img_ci_skew=0.000000s, detect_ms=9.611802, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994922.781445163] [apriltag.apriltag]: camera_diag: img_age=0.093459s, ci_age=0.093459s, img_ci_skew=0.000000s, detect_ms=7.186920, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994923.792243786] [apriltag.apriltag]: camera_diag: img_age=0.086388s, ci_age=0.086388s, img_ci_skew=0.000000s, detect_ms=9.757923, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994924.801922294] [apriltag.apriltag]: camera_diag: img_age=0.079456s, ci_age=0.079456s, img_ci_skew=0.000000s, detect_ms=11.409011, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994925.806460772] [apriltag.apriltag]: camera_diag: img_age=0.071863s, ci_age=0.071863s, img_ci_skew=0.000000s, detect_ms=9.354179, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994927.013450470] [apriltag.apriltag]: camera_diag: img_age=0.064665s, ci_age=0.064665s, img_ci_skew=0.000000s, detect_ms=8.134203, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994928.149184168] [apriltag.apriltag]: camera_diag: img_age=0.055736s, ci_age=0.055736s, img_ci_skew=0.000000s, detect_ms=6.214123, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994929.295471324] [apriltag.apriltag]: camera_diag: img_age=0.052409s, ci_age=0.052409s, img_ci_skew=0.000000s, detect_ms=11.417137, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994930.295366949] [apriltag.apriltag]: camera_diag: img_age=0.049381s, ci_age=0.049381s, img_ci_skew=0.000000s, detect_ms=7.637581, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994931.494488802] [apriltag.apriltag]: camera_diag: img_age=0.046357s, ci_age=0.046357s, img_ci_skew=0.000000s, detect_ms=3.539871, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994932.766816713] [apriltag.apriltag]: camera_diag: img_age=0.047827s, ci_age=0.047827s, img_ci_skew=0.000000s, detect_ms=5.213672, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994934.104289472] [apriltag.apriltag]: camera_diag: img_age=0.051022s, ci_age=0.051022s, img_ci_skew=0.000000s, detect_ms=5.380552, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994935.373284879] [apriltag.apriltag]: camera_diag: img_age=0.053329s, ci_age=0.053329s, img_ci_skew=0.000000s, detect_ms=4.085020, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994936.713631682] [apriltag.apriltag]: camera_diag: img_age=0.055536s, ci_age=0.055536s, img_ci_skew=0.000000s, detect_ms=7.982895, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994937.715031952] [apriltag.apriltag]: camera_diag: img_age=0.056777s, ci_age=0.056777s, img_ci_skew=0.000000s, detect_ms=6.914850, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994938.715807685] [apriltag.apriltag]: camera_diag: img_age=0.057954s, ci_age=0.057954s, img_ci_skew=0.000000s, detect_ms=5.626084, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994939.918681868] [apriltag.apriltag]: camera_diag: img_age=0.059092s, ci_age=0.059092s, img_ci_skew=0.000000s, detect_ms=5.852033, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994940.919720802] [apriltag.apriltag]: camera_diag: img_age=0.059767s, ci_age=0.059767s, img_ci_skew=0.000000s, detect_ms=4.984250, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994941.924921291] [apriltag.apriltag]: camera_diag: img_age=0.060399s, ci_age=0.060399s, img_ci_skew=0.000000s, detect_ms=8.401578, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994942.996675362] [apriltag.apriltag]: camera_diag: img_age=0.061177s, ci_age=0.061177s, img_ci_skew=0.000000s, detect_ms=10.374340, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994943.996115731] [apriltag.apriltag]: camera_diag: img_age=0.061925s, ci_age=0.061925s, img_ci_skew=0.000000s, detect_ms=8.954455, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994944.996995041] [apriltag.apriltag]: camera_diag: img_age=0.063181s, ci_age=0.063181s, img_ci_skew=0.000000s, detect_ms=7.452170, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994945.998389319] [apriltag.apriltag]: camera_diag: img_age=0.062700s, ci_age=0.062700s, img_ci_skew=0.000000s, detect_ms=8.364171, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994947.130616545] [apriltag.apriltag]: camera_diag: img_age=0.063322s, ci_age=0.063322s, img_ci_skew=0.000000s, detect_ms=5.295176, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994948.133387152] [apriltag.apriltag]: camera_diag: img_age=0.063625s, ci_age=0.063625s, img_ci_skew=0.000000s, detect_ms=6.665451, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994949.134566917] [apriltag.apriltag]: camera_diag: img_age=0.064302s, ci_age=0.064302s, img_ci_skew=0.000000s, detect_ms=5.944478, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994950.139851298] [apriltag.apriltag]: camera_diag: img_age=0.066803s, ci_age=0.066803s, img_ci_skew=0.000000s, detect_ms=7.646391, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994951.207913951] [apriltag.apriltag]: camera_diag: img_age=0.065430s, ci_age=0.065430s, img_ci_skew=0.000000s, detect_ms=8.863210, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994952.208350286] [apriltag.apriltag]: camera_diag: img_age=0.065531s, ci_age=0.065531s, img_ci_skew=0.000000s, detect_ms=6.821168, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994953.208031284] [apriltag.apriltag]: camera_diag: img_age=0.066180s, ci_age=0.066180s, img_ci_skew=0.000000s, detect_ms=5.335097, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994954.209687178] [apriltag.apriltag]: camera_diag: img_age=0.066280s, ci_age=0.066280s, img_ci_skew=0.000000s, detect_ms=4.917342, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
