[WARN] [1784182854.520478009] [apriltag.apriltag]: camera_diag: img_age=0.069777s, ci_age=0.069777s, img_ci_skew=0.000000s, detect_ms=168.549652, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182887.249771904] [apriltag.apriltag]: camera_diag: img_age=0.066161s, ci_age=0.066161s, img_ci_skew=0.000000s, detect_ms=6.187770, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182888.317953815] [apriltag.apriltag]: camera_diag: img_age=0.066020s, ci_age=0.066020s, img_ci_skew=0.000000s, detect_ms=7.063225, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182889.520783890] [apriltag.apriltag]: camera_diag: img_age=0.067196s, ci_age=0.067196s, img_ci_skew=0.000000s, detect_ms=7.160969, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182890.784231130] [apriltag.apriltag]: camera_diag: img_age=0.066476s, ci_age=0.066476s, img_ci_skew=0.000000s, detect_ms=3.972730, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182891.785998759] [apriltag.apriltag]: camera_diag: img_age=0.066112s, ci_age=0.066112s, img_ci_skew=0.000000s, detect_ms=5.689101, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182892.987543737] [apriltag.apriltag]: camera_diag: img_age=0.065874s, ci_age=0.065874s, img_ci_skew=0.000000s, detect_ms=6.343359, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182894.132465343] [apriltag.apriltag]: camera_diag: img_age=0.070956s, ci_age=0.070956s, img_ci_skew=0.000000s, detect_ms=11.899613, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182895.458508588] [apriltag.apriltag]: camera_diag: img_age=0.065968s, ci_age=0.065968s, img_ci_skew=0.000000s, detect_ms=8.427102, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182896.726493332] [apriltag.apriltag]: camera_diag: img_age=0.065863s, ci_age=0.065863s, img_ci_skew=0.000000s, detect_ms=8.265883, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
