[INFO] [1783903998.916878469] [stairs_manager]: obstacle_manager inactive on startup: start_waypoint_index=0, stop_after_waypoint_index=0
[INFO] [1783904010.678857430] [stairs_manager]: [1;35m发布模式: 1 (下坡)[0m
[INFO] [1783904010.679385192] [stairs_manager]: [1;35m发布上坡步长滤波: False[0m
[INFO] [1783904010.679873662] [stairs_manager]: [1;35m发布路径修正profile: 1 (0=关闭, 1=普通, 2=上坡强修正, 3=强修正符号验证)[0m
[INFO] [1783904010.680472782] [stairs_manager]: obstacle_manager activated: reason=external_topic, start_waypoint_index=0, stop_after_waypoint_index=0, inherit_previous_waypoint_segment_state=False
[INFO] [1783904023.482576045] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.397m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.020,0.180), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.183/1.580m (12%), line_remaining=1.397m, line_lateral=-0.029m, override=[1,0.800,0.800][0m
[INFO] [1783904024.482571596] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.404m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.037,0.174), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.177/1.580m (11%), line_remaining=1.403m, line_lateral=-0.046m, override=[1,0.800,0.800][0m
[INFO] [1783904025.482667831] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.398m, min_dist=1.378m, yaw_err=2.5deg, pose=(-0.030,0.179), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.182/1.580m (12%), line_remaining=1.398m, line_lateral=-0.039m, override=[1,0.800,0.800][0m
[INFO] [1783904026.483296165] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.393m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.020,0.185), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.188/1.580m (12%), line_remaining=1.392m, line_lateral=-0.030m, override=[1,0.800,0.800][0m
[INFO] [1783904027.582459453] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.396m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.022,0.181), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.184/1.580m (12%), line_remaining=1.396m, line_lateral=-0.031m, override=[1,0.800,0.800][0m
[INFO] [1783904028.683361740] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.396m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.021,0.181), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.184/1.580m (12%), line_remaining=1.396m, line_lateral=-0.030m, override=[1,0.800,0.800][0m
[INFO] [1783904029.683094095] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.395m, min_dist=1.378m, yaw_err=2.5deg, pose=(-0.017,0.183), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.186/1.580m (12%), line_remaining=1.394m, line_lateral=-0.026m, override=[1,0.800,0.800][0m
[INFO] [1783904030.683858082] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.395m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.017,0.182), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.185/1.580m (12%), line_remaining=1.395m, line_lateral=-0.026m, override=[1,0.800,0.800][0m
[INFO] [1783904031.684772195] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.390m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.018,0.187), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.190/1.580m (12%), line_remaining=1.390m, line_lateral=-0.027m, override=[1,0.800,0.800][0m
[INFO] [1783904032.641939267] [stairs_manager]: obstacle_manager deactivated: reason=external_topic
