[INFO] [1784183041.406861506] [limit_bar_duck_test]: state=DETECTOR_ONLY
[INFO] [1784183041.407465790] [limit_bar_duck_test]: limit_bar_duck_test started: color=/camera/color/image_raw, depth=/camera/aligned_depth_to_color/image_raw, pose=/Odometry, detector_only=True, serial=/dev/ttyUSB0@115200, trigger_distance=0.80m, travel_distance=1.00m, walk=[0,0.500,0.500], duck_prepare=[2,0.000,0.000], duck_walk=[2,1.000,1.000]
[INFO] [1784183041.756610547] [limit_bar_duck_test]: [1;95m触发状态更新: trigger=False[0m
[INFO] [1784183041.760897343] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=1, reason=no_candidate, mask_px=blue:4886,white:17724,combined:26218, component=roi_y=120:240,search_blue_px=301,contours=1,largest=area:818,box:108x58,aspect:1.86,roi_blue:738,roi_white:3837,reject:area+width+aspect, line=blue_only(mask_px=5279,lines=0,reject=no_hough_line); combined(mask_px=26218,lines=1,best=len:178,angle:0.0,band:203x25,blue:221,white:2191,reject:depth_invalid(valid_px=0,min_px=12)), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183042.819780516] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=17, reason=no_candidate, mask_px=blue:6695,white:34711,combined:46492, component=roi_y=120:240,search_blue_px=495,contours=2,largest=area:1946,box:131x52,aspect:2.52,roi_blue:912,roi_white:6054,reject:width+aspect, line=blue_only(mask_px=6875,lines=0,reject=no_hough_line); combined(mask_px=46492,lines=0,reject=no_hough_line), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183056.022570845] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=215, reason=orange_foreground_suppressed, orange=area=11156,box=227x88,bottom=1.00,ratios=(0.11,0.54,0.37), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183057.023272713] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=230, reason=orange_foreground_suppressed, orange=area=11646,box=234x93,bottom=1.00,ratios=(0.11,0.55,0.39), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183058.023800180] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=245, reason=orange_foreground_suppressed, orange=area=12402,box=239x86,bottom=1.00,ratios=(0.12,0.56,0.36), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183059.025689824] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=260, reason=orange_foreground_suppressed, orange=area=11722,box=228x78,bottom=1.00,ratios=(0.12,0.54,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183060.032754583] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=275, reason=orange_foreground_suppressed, orange=area=11986,box=238x82,bottom=1.00,ratios=(0.12,0.56,0.34), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183061.025976764] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=290, reason=orange_foreground_suppressed, orange=area=11614,box=213x87,bottom=1.00,ratios=(0.11,0.50,0.36), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183062.027629411] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=305, reason=orange_foreground_suppressed, orange=area=11296,box=234x78,bottom=1.00,ratios=(0.11,0.55,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183063.027268124] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=320, reason=orange_foreground_suppressed, orange=area=11236,box=196x78,bottom=1.00,ratios=(0.11,0.46,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183064.030028456] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=335, reason=orange_foreground_suppressed, orange=area=11699,box=240x84,bottom=1.00,ratios=(0.11,0.57,0.35), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183065.032860829] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=350, reason=orange_foreground_suppressed, orange=area=12271,box=240x78,bottom=1.00,ratios=(0.12,0.57,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183066.030599277] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=365, reason=orange_foreground_suppressed, orange=area=12425,box=236x85,bottom=1.00,ratios=(0.12,0.56,0.35), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183067.030813461] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=380, reason=orange_foreground_suppressed, orange=area=11429,box=236x79,bottom=1.00,ratios=(0.11,0.56,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183068.097378391] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=396, reason=orange_foreground_suppressed, orange=area=11606,box=239x78,bottom=1.00,ratios=(0.11,0.56,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183069.098343140] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=411, reason=orange_foreground_suppressed, orange=area=12036,box=248x80,bottom=1.00,ratios=(0.12,0.58,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183070.102014932] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=426, reason=orange_foreground_suppressed, orange=area=12700,box=236x87,bottom=1.00,ratios=(0.12,0.56,0.36), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183071.167241659] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=442, reason=orange_foreground_suppressed, orange=area=10764,box=195x90,bottom=1.00,ratios=(0.11,0.46,0.38), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183072.235803541] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=458, reason=orange_foreground_suppressed, orange=area=11561,box=234x92,bottom=1.00,ratios=(0.11,0.55,0.38), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183073.238889611] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=473, reason=orange_foreground_suppressed, orange=area=11848,box=233x84,bottom=1.00,ratios=(0.12,0.55,0.35), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183074.302604559] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=489, reason=orange_foreground_suppressed, orange=area=11600,box=234x88,bottom=1.00,ratios=(0.11,0.55,0.37), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183075.303775543] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=504, reason=orange_foreground_suppressed, orange=area=11524,box=235x85,bottom=1.00,ratios=(0.11,0.55,0.35), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183076.306690871] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=519, reason=orange_foreground_suppressed, orange=area=11474,box=238x78,bottom=1.00,ratios=(0.11,0.56,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183077.372474049] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=535, reason=orange_foreground_suppressed, orange=area=10892,box=196x80,bottom=1.00,ratios=(0.11,0.46,0.33), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183078.370854911] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=550, reason=orange_foreground_suppressed, orange=area=11622,box=194x105,bottom=1.00,ratios=(0.11,0.46,0.44), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183079.373868152] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=565, reason=orange_foreground_suppressed, orange=area=15918,box=266x96,bottom=1.00,ratios=(0.16,0.63,0.40), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183080.373516357] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=580, reason=orange_foreground_suppressed, orange=area=15735,box=254x96,bottom=1.00,ratios=(0.15,0.60,0.40), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183081.376359236] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=595, reason=orange_foreground_suppressed, orange=area=15387,box=250x105,bottom=1.00,ratios=(0.15,0.59,0.44), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183082.443487384] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=611, reason=orange_foreground_suppressed, orange=area=16372,box=256x105,bottom=1.00,ratios=(0.16,0.60,0.44), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183083.440884932] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=626, reason=orange_foreground_suppressed, orange=area=14978,box=242x97,bottom=1.00,ratios=(0.15,0.57,0.40), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183084.442152745] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=641, reason=orange_foreground_suppressed, orange=area=14634,box=252x95,bottom=1.00,ratios=(0.14,0.59,0.40), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183085.442098443] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=656, reason=orange_foreground_suppressed, orange=area=15104,box=248x96,bottom=1.00,ratios=(0.15,0.58,0.40), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183086.442321950] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=671, reason=orange_foreground_suppressed, orange=area=15181,box=252x97,bottom=1.00,ratios=(0.15,0.59,0.40), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
