[INFO] [1783906359.194936627] [apriltag.apriltag]: camera_diag: img_age=0.111621s, ci_age=0.111621s, img_ci_skew=0.000000s, detect_ms=6.999947, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906360.203694896] [apriltag.apriltag]: camera_diag: img_age=0.090535s, ci_age=0.090535s, img_ci_skew=0.000000s, detect_ms=7.420058, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906361.216026672] [apriltag.apriltag]: camera_diag: img_age=0.070913s, ci_age=0.070913s, img_ci_skew=0.000000s, detect_ms=4.897052, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906362.233581726] [apriltag.apriltag]: camera_diag: img_age=0.053059s, ci_age=0.053059s, img_ci_skew=0.000000s, detect_ms=8.882964, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906363.244559224] [apriltag.apriltag]: camera_diag: img_age=0.037386s, ci_age=0.037386s, img_ci_skew=0.000000s, detect_ms=8.200227, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906364.253372201] [apriltag.apriltag]: camera_diag: img_age=0.024380s, ci_age=0.024380s, img_ci_skew=0.000000s, detect_ms=7.522999, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906365.261439630] [apriltag.apriltag]: camera_diag: img_age=0.016389s, ci_age=0.016389s, img_ci_skew=0.000000s, detect_ms=6.183562, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906366.267978081] [apriltag.apriltag]: camera_diag: img_age=0.011989s, ci_age=0.011989s, img_ci_skew=0.000000s, detect_ms=5.015558, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906367.277697554] [apriltag.apriltag]: camera_diag: img_age=0.012488s, ci_age=0.012488s, img_ci_skew=0.000000s, detect_ms=6.664932, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906368.286837485] [apriltag.apriltag]: camera_diag: img_age=0.021393s, ci_age=0.021393s, img_ci_skew=0.000000s, detect_ms=7.183406, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783906369.288076881] [apriltag.apriltag]: camera_diag: img_age=0.026001s, ci_age=0.026001s, img_ci_skew=0.000000s, detect_ms=5.342426, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
