[INFO] [1783729413.770283697] [apriltag.apriltag]: camera_diag: img_age=0.065912s, ci_age=0.065912s, img_ci_skew=0.000000s, detect_ms=5.699841, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729415.096279032] [apriltag.apriltag]: camera_diag: img_age=0.065889s, ci_age=0.065889s, img_ci_skew=0.000000s, detect_ms=5.477367, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729416.098063708] [apriltag.apriltag]: camera_diag: img_age=0.066926s, ci_age=0.066926s, img_ci_skew=0.000000s, detect_ms=5.448636, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729417.171149199] [apriltag.apriltag]: camera_diag: img_age=0.066224s, ci_age=0.066224s, img_ci_skew=0.000000s, detect_ms=11.564907, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729418.171297724] [apriltag.apriltag]: camera_diag: img_age=0.070036s, ci_age=0.070036s, img_ci_skew=0.000000s, detect_ms=7.602323, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729419.239226926] [apriltag.apriltag]: camera_diag: img_age=0.068646s, ci_age=0.068646s, img_ci_skew=0.000000s, detect_ms=9.193891, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729420.310155430] [apriltag.apriltag]: camera_diag: img_age=0.071496s, ci_age=0.071496s, img_ci_skew=0.000000s, detect_ms=9.295041, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729421.314354824] [apriltag.apriltag]: camera_diag: img_age=0.075070s, ci_age=0.075070s, img_ci_skew=0.000000s, detect_ms=7.730407, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729422.715518754] [apriltag.apriltag]: camera_diag: img_age=0.071889s, ci_age=0.071889s, img_ci_skew=0.000000s, detect_ms=9.026378, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729424.184872089] [apriltag.apriltag]: camera_diag: img_age=0.071503s, ci_age=0.071503s, img_ci_skew=0.000000s, detect_ms=8.161310, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729425.321483545] [apriltag.apriltag]: camera_diag: img_age=0.072015s, ci_age=0.072015s, img_ci_skew=0.000000s, detect_ms=7.280632, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729426.325034751] [apriltag.apriltag]: camera_diag: img_age=0.070119s, ci_age=0.070119s, img_ci_skew=0.000000s, detect_ms=9.587716, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729427.322082446] [apriltag.apriltag]: camera_diag: img_age=0.068539s, ci_age=0.068539s, img_ci_skew=0.000000s, detect_ms=5.013487, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729429.328955928] [apriltag.apriltag]: camera_diag: img_age=0.066251s, ci_age=0.066251s, img_ci_skew=0.000000s, detect_ms=7.967734, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729430.463148130] [apriltag.apriltag]: camera_diag: img_age=0.064960s, ci_age=0.064960s, img_ci_skew=0.000000s, detect_ms=6.529762, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729432.131791179] [apriltag.apriltag]: camera_diag: img_age=0.063743s, ci_age=0.063743s, img_ci_skew=0.000000s, detect_ms=5.760643, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729433.333635795] [apriltag.apriltag]: camera_diag: img_age=0.063588s, ci_age=0.063588s, img_ci_skew=0.000000s, detect_ms=5.504497, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729434.336929676] [apriltag.apriltag]: camera_diag: img_age=0.063418s, ci_age=0.063418s, img_ci_skew=0.000000s, detect_ms=7.560836, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729435.474747189] [apriltag.apriltag]: camera_diag: img_age=0.066386s, ci_age=0.066386s, img_ci_skew=0.000000s, detect_ms=7.164040, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729436.542344561] [apriltag.apriltag]: camera_diag: img_age=0.064198s, ci_age=0.064198s, img_ci_skew=0.000000s, detect_ms=8.824741, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729438.675772615] [apriltag.apriltag]: camera_diag: img_age=0.064355s, ci_age=0.064355s, img_ci_skew=0.000000s, detect_ms=6.118206, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729440.278138545] [apriltag.apriltag]: camera_diag: img_age=0.065123s, ci_age=0.065123s, img_ci_skew=0.000000s, detect_ms=5.638273, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729441.413727550] [apriltag.apriltag]: camera_diag: img_age=0.064719s, ci_age=0.064719s, img_ci_skew=0.000000s, detect_ms=7.088380, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729442.417861440] [apriltag.apriltag]: camera_diag: img_age=0.065780s, ci_age=0.065780s, img_ci_skew=0.000000s, detect_ms=7.090594, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729443.419206998] [apriltag.apriltag]: camera_diag: img_age=0.065088s, ci_age=0.065088s, img_ci_skew=0.000000s, detect_ms=10.016606, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729444.551011914] [apriltag.apriltag]: camera_diag: img_age=0.065118s, ci_age=0.065118s, img_ci_skew=0.000000s, detect_ms=7.254271, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729446.348974615] [apriltag.apriltag]: camera_diag: img_age=0.064873s, ci_age=0.064873s, img_ci_skew=0.000000s, detect_ms=3.293829, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729447.623149307] [apriltag.apriltag]: camera_diag: img_age=0.065044s, ci_age=0.065044s, img_ci_skew=0.000000s, detect_ms=9.185078, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729448.625771077] [apriltag.apriltag]: camera_diag: img_age=0.066312s, ci_age=0.066312s, img_ci_skew=0.000000s, detect_ms=9.709232, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729449.755408263] [apriltag.apriltag]: camera_diag: img_age=0.065392s, ci_age=0.065392s, img_ci_skew=0.000000s, detect_ms=5.406421, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729450.823575423] [apriltag.apriltag]: camera_diag: img_age=0.065150s, ci_age=0.065150s, img_ci_skew=0.000000s, detect_ms=5.941467, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729451.823497095] [apriltag.apriltag]: camera_diag: img_age=0.065197s, ci_age=0.065197s, img_ci_skew=0.000000s, detect_ms=4.918451, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729452.824886671] [apriltag.apriltag]: camera_diag: img_age=0.065607s, ci_age=0.065607s, img_ci_skew=0.000000s, detect_ms=5.033474, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729453.824224460] [apriltag.apriltag]: camera_diag: img_age=0.065843s, ci_age=0.065843s, img_ci_skew=0.000000s, detect_ms=3.352328, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729454.827330649] [apriltag.apriltag]: camera_diag: img_age=0.065892s, ci_age=0.065892s, img_ci_skew=0.000000s, detect_ms=5.555152, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729455.826306730] [apriltag.apriltag]: camera_diag: img_age=0.065665s, ci_age=0.065665s, img_ci_skew=0.000000s, detect_ms=3.750652, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729456.829817264] [apriltag.apriltag]: camera_diag: img_age=0.065645s, ci_age=0.065645s, img_ci_skew=0.000000s, detect_ms=6.375912, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729457.899894345] [apriltag.apriltag]: camera_diag: img_age=0.065458s, ci_age=0.065458s, img_ci_skew=0.000000s, detect_ms=8.995760, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729460.171492103] [apriltag.apriltag]: camera_diag: img_age=0.065693s, ci_age=0.065693s, img_ci_skew=0.000000s, detect_ms=11.693231, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729486.460022424] [apriltag.apriltag]: camera_diag: img_age=0.068182s, ci_age=0.068182s, img_ci_skew=0.000000s, detect_ms=9.044346, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729487.528114380] [apriltag.apriltag]: camera_diag: img_age=0.070886s, ci_age=0.070886s, img_ci_skew=0.000000s, detect_ms=6.180623, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729488.594196460] [apriltag.apriltag]: camera_diag: img_age=0.067570s, ci_age=0.067570s, img_ci_skew=0.000000s, detect_ms=7.176662, raw_det=2, kept_det=2, tf=2, tf_children=[camera_color_optical_frame->object,camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729495.599642817] [apriltag.apriltag]: camera_diag: img_age=0.065999s, ci_age=0.065999s, img_ci_skew=0.000000s, detect_ms=4.293119, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783729496.733912620] [apriltag.apriltag]: camera_diag: img_age=0.065733s, ci_age=0.065733s, img_ci_skew=0.000000s, detect_ms=4.057752, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
