[INFO] [1783753163.081512552] [apriltag.apriltag]: camera_diag: img_age=0.208128s, ci_age=0.208128s, img_ci_skew=0.000000s, detect_ms=25.717554, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753164.110919586] [apriltag.apriltag]: camera_diag: img_age=0.048394s, ci_age=0.048394s, img_ci_skew=0.000000s, detect_ms=6.365474, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753166.850926410] [apriltag.apriltag]: camera_diag: img_age=0.068081s, ci_age=0.068081s, img_ci_skew=0.000000s, detect_ms=10.363471, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753167.875795279] [apriltag.apriltag]: camera_diag: img_age=0.083360s, ci_age=0.083360s, img_ci_skew=0.000000s, detect_ms=19.317415, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753168.918430462] [apriltag.apriltag]: camera_diag: img_age=0.063624s, ci_age=0.063624s, img_ci_skew=0.000000s, detect_ms=9.737634, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753169.970488463] [apriltag.apriltag]: camera_diag: img_age=0.067044s, ci_age=0.067044s, img_ci_skew=0.000000s, detect_ms=59.083331, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753174.252070361] [apriltag.apriltag]: camera_diag: img_age=0.065704s, ci_age=0.065704s, img_ci_skew=0.000000s, detect_ms=6.495988, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753175.252493204] [apriltag.apriltag]: camera_diag: img_age=0.065924s, ci_age=0.065924s, img_ci_skew=0.000000s, detect_ms=6.390776, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753176.255537205] [apriltag.apriltag]: camera_diag: img_age=0.065799s, ci_age=0.065799s, img_ci_skew=0.000000s, detect_ms=8.264229, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753177.523054063] [apriltag.apriltag]: camera_diag: img_age=0.066378s, ci_age=0.066378s, img_ci_skew=0.000000s, detect_ms=8.385018, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783753178.860436272] [apriltag.apriltag]: camera_diag: img_age=0.066571s, ci_age=0.066571s, img_ci_skew=0.000000s, detect_ms=10.698346, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->limit_bar_right], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
