[INFO] [1784183208.973607637] [apriltag.apriltag]: camera_diag: img_age=0.108565s, ci_age=0.108565s, img_ci_skew=0.000000s, detect_ms=10.804511, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183210.160937992] [apriltag.apriltag]: camera_diag: img_age=0.103317s, ci_age=0.103317s, img_ci_skew=0.000000s, detect_ms=8.799216, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183211.286442864] [apriltag.apriltag]: camera_diag: img_age=0.098274s, ci_age=0.098274s, img_ci_skew=0.000000s, detect_ms=4.231265, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183212.551209791] [apriltag.apriltag]: camera_diag: img_age=0.092675s, ci_age=0.092675s, img_ci_skew=0.000000s, detect_ms=5.905674, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183213.817560727] [apriltag.apriltag]: camera_diag: img_age=0.088197s, ci_age=0.088197s, img_ci_skew=0.000000s, detect_ms=8.419726, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183215.014074975] [apriltag.apriltag]: camera_diag: img_age=0.084991s, ci_age=0.084991s, img_ci_skew=0.000000s, detect_ms=6.760299, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183216.892237953] [apriltag.apriltag]: camera_diag: img_age=0.090584s, ci_age=0.090584s, img_ci_skew=0.000000s, detect_ms=6.861906, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183218.143339818] [apriltag.apriltag]: camera_diag: img_age=0.078063s, ci_age=0.078063s, img_ci_skew=0.000000s, detect_ms=6.087538, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183219.346483899] [apriltag.apriltag]: camera_diag: img_age=0.076671s, ci_age=0.076671s, img_ci_skew=0.000000s, detect_ms=8.831365, raw_det=2, kept_det=2, tf=2, tf_children=[camera_color_optical_frame->bridge,camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183220.409369332] [apriltag.apriltag]: camera_diag: img_age=0.075183s, ci_age=0.075183s, img_ci_skew=0.000000s, detect_ms=5.939757, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784183221.608838119] [apriltag.apriltag]: camera_diag: img_age=0.073829s, ci_age=0.073829s, img_ci_skew=0.000000s, detect_ms=5.407378, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
