[INFO] [1783994280.497622978] [apriltag.apriltag]: camera_diag: img_age=0.063045s, ci_age=0.063045s, img_ci_skew=0.000000s, detect_ms=8.414508, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994282.899625756] [apriltag.apriltag]: camera_diag: img_age=0.064285s, ci_age=0.064285s, img_ci_skew=0.000000s, detect_ms=8.147936, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994284.436935658] [apriltag.apriltag]: camera_diag: img_age=0.064916s, ci_age=0.064916s, img_ci_skew=0.000000s, detect_ms=10.623410, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994285.633842993] [apriltag.apriltag]: camera_diag: img_age=0.065067s, ci_age=0.065067s, img_ci_skew=0.000000s, detect_ms=6.751762, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994286.638307036] [apriltag.apriltag]: camera_diag: img_age=0.065856s, ci_age=0.065856s, img_ci_skew=0.000000s, detect_ms=9.817970, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994287.701757633] [apriltag.apriltag]: camera_diag: img_age=0.065400s, ci_age=0.065400s, img_ci_skew=0.000000s, detect_ms=5.904374, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994288.700632302] [apriltag.apriltag]: camera_diag: img_age=0.065612s, ci_age=0.065612s, img_ci_skew=0.000000s, detect_ms=4.697644, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994289.701702360] [apriltag.apriltag]: camera_diag: img_age=0.065725s, ci_age=0.065725s, img_ci_skew=0.000000s, detect_ms=5.035375, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994290.702725615] [apriltag.apriltag]: camera_diag: img_age=0.065915s, ci_age=0.065915s, img_ci_skew=0.000000s, detect_ms=5.515906, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994291.704364225] [apriltag.apriltag]: camera_diag: img_age=0.065852s, ci_age=0.065852s, img_ci_skew=0.000000s, detect_ms=6.229837, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994292.705347789] [apriltag.apriltag]: camera_diag: img_age=0.066487s, ci_age=0.066487s, img_ci_skew=0.000000s, detect_ms=5.737462, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994293.707835613] [apriltag.apriltag]: camera_diag: img_age=0.065769s, ci_age=0.065769s, img_ci_skew=0.000000s, detect_ms=7.976036, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994294.705356482] [apriltag.apriltag]: camera_diag: img_age=0.066461s, ci_age=0.066461s, img_ci_skew=0.000000s, detect_ms=4.155418, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994295.705742323] [apriltag.apriltag]: camera_diag: img_age=0.065654s, ci_age=0.065654s, img_ci_skew=0.000000s, detect_ms=4.484522, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994296.708093356] [apriltag.apriltag]: camera_diag: img_age=0.065960s, ci_age=0.065960s, img_ci_skew=0.000000s, detect_ms=5.948445, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994298.109534577] [apriltag.apriltag]: camera_diag: img_age=0.065934s, ci_age=0.065934s, img_ci_skew=0.000000s, detect_ms=6.492082, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994299.109104294] [apriltag.apriltag]: camera_diag: img_age=0.066180s, ci_age=0.066180s, img_ci_skew=0.000000s, detect_ms=5.240004, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994300.578620411] [apriltag.apriltag]: camera_diag: img_age=0.065928s, ci_age=0.065928s, img_ci_skew=0.000000s, detect_ms=6.881497, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994306.981728014] [apriltag.apriltag]: camera_diag: img_age=0.066157s, ci_age=0.066157s, img_ci_skew=0.000000s, detect_ms=5.013221, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994307.984269257] [apriltag.apriltag]: camera_diag: img_age=0.068520s, ci_age=0.068520s, img_ci_skew=0.000000s, detect_ms=4.529676, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994308.984293332] [apriltag.apriltag]: camera_diag: img_age=0.067830s, ci_age=0.067830s, img_ci_skew=0.000000s, detect_ms=4.380810, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994310.051750519] [apriltag.apriltag]: camera_diag: img_age=0.066031s, ci_age=0.066031s, img_ci_skew=0.000000s, detect_ms=5.924305, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994311.050456840] [apriltag.apriltag]: camera_diag: img_age=0.065975s, ci_age=0.065975s, img_ci_skew=0.000000s, detect_ms=4.161364, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994312.054039200] [apriltag.apriltag]: camera_diag: img_age=0.066510s, ci_age=0.066510s, img_ci_skew=0.000000s, detect_ms=6.396752, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994313.051110020] [apriltag.apriltag]: camera_diag: img_age=0.066193s, ci_age=0.066193s, img_ci_skew=0.000000s, detect_ms=3.210356, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994314.054308183] [apriltag.apriltag]: camera_diag: img_age=0.066267s, ci_age=0.066267s, img_ci_skew=0.000000s, detect_ms=5.688893, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994315.055973448] [apriltag.apriltag]: camera_diag: img_age=0.066217s, ci_age=0.066217s, img_ci_skew=0.000000s, detect_ms=6.628041, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994316.057100506] [apriltag.apriltag]: camera_diag: img_age=0.066356s, ci_age=0.066356s, img_ci_skew=0.000000s, detect_ms=7.109083, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994317.057708209] [apriltag.apriltag]: camera_diag: img_age=0.066201s, ci_age=0.066201s, img_ci_skew=0.000000s, detect_ms=7.023806, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
