[INFO] [1784186886.778672740] [apriltag.apriltag]: camera_diag: img_age=0.066183s, ci_age=0.066183s, img_ci_skew=0.000000s, detect_ms=14.091524, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186887.964605678] [apriltag.apriltag]: camera_diag: img_age=0.065913s, ci_age=0.065913s, img_ci_skew=0.000000s, detect_ms=7.839279, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186888.967900335] [apriltag.apriltag]: camera_diag: img_age=0.067869s, ci_age=0.067869s, img_ci_skew=0.000000s, detect_ms=8.356423, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186890.034958560] [apriltag.apriltag]: camera_diag: img_age=0.066134s, ci_age=0.066134s, img_ci_skew=0.000000s, detect_ms=10.016903, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186891.108579797] [apriltag.apriltag]: camera_diag: img_age=0.066636s, ci_age=0.066636s, img_ci_skew=0.000000s, detect_ms=15.202107, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186892.104803003] [apriltag.apriltag]: camera_diag: img_age=0.066646s, ci_age=0.066646s, img_ci_skew=0.000000s, detect_ms=11.092935, raw_det=2, kept_det=2, tf=2, tf_children=[camera_color_optical_frame->bridge,camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186893.103587725] [apriltag.apriltag]: camera_diag: img_age=0.068309s, ci_age=0.068309s, img_ci_skew=0.000000s, detect_ms=7.517852, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186894.237318502] [apriltag.apriltag]: camera_diag: img_age=0.066179s, ci_age=0.066179s, img_ci_skew=0.000000s, detect_ms=8.960844, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186895.240384243] [apriltag.apriltag]: camera_diag: img_age=0.066556s, ci_age=0.066556s, img_ci_skew=0.000000s, detect_ms=11.080948, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186896.238609253] [apriltag.apriltag]: camera_diag: img_age=0.065964s, ci_age=0.065964s, img_ci_skew=0.000000s, detect_ms=9.082319, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784186897.238787166] [apriltag.apriltag]: camera_diag: img_age=0.065933s, ci_age=0.065933s, img_ci_skew=0.000000s, detect_ms=8.775971, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
