[WARN] [1784090646.275478080] [apriltag.apriltag]: camera_diag: img_age=0.073577s, ci_age=0.073577s, img_ci_skew=0.000000s, detect_ms=427.799370, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090669.632542267] [apriltag.apriltag]: camera_diag: img_age=0.120909s, ci_age=0.120909s, img_ci_skew=0.000000s, detect_ms=6.746228, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090670.846747069] [apriltag.apriltag]: camera_diag: img_age=0.104734s, ci_age=0.104734s, img_ci_skew=0.000000s, detect_ms=9.839254, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090671.856433032] [apriltag.apriltag]: camera_diag: img_age=0.089545s, ci_age=0.089545s, img_ci_skew=0.000000s, detect_ms=6.207099, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090672.872243620] [apriltag.apriltag]: camera_diag: img_age=0.075258s, ci_age=0.075258s, img_ci_skew=0.000000s, detect_ms=8.626382, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090673.878725379] [apriltag.apriltag]: camera_diag: img_age=0.059336s, ci_age=0.059336s, img_ci_skew=0.000000s, detect_ms=5.331886, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090675.091164979] [apriltag.apriltag]: camera_diag: img_age=0.044583s, ci_age=0.044583s, img_ci_skew=0.000000s, detect_ms=6.510404, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090676.367665674] [apriltag.apriltag]: camera_diag: img_age=0.032470s, ci_age=0.032470s, img_ci_skew=0.000000s, detect_ms=6.110091, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090677.372952636] [apriltag.apriltag]: camera_diag: img_age=0.026472s, ci_age=0.026472s, img_ci_skew=0.000000s, detect_ms=4.461477, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090678.515601549] [apriltag.apriltag]: camera_diag: img_age=0.024360s, ci_age=0.024360s, img_ci_skew=0.000000s, detect_ms=6.581884, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784090679.589064499] [apriltag.apriltag]: camera_diag: img_age=0.027951s, ci_age=0.027951s, img_ci_skew=0.000000s, detect_ms=7.070006, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
