[INFO] [1783903999.209855169] [orange_hurdle_jump_test]: state=DETECTOR_ONLY
[INFO] [1783904004.531430855] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=77, mask_px=1170, contours=8, largest=area:802,box:28x47,aspect:0.60,reject:area+width+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904004.799010917] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=81, mask_px=1121, contours=6, largest=area:456,box:28x23,aspect:1.22,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904005.064376975] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=85, mask_px=1015, contours=4, largest=area:584,box:24x46,aspect:0.52,reject:area+width+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904005.265955640] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=88, mask_px=201, contours=4, largest=area:74,box:12x9,aspect:1.33,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904005.531291527] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=92, mask_px=116, contours=3, largest=area:42,box:8x7,aspect:1.14,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904005.731905464] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=95, mask_px=240, contours=5, largest=area:62,box:14x7,aspect:2.00,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904005.932039432] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=98, mask_px=162, contours=3, largest=area:78,box:17x7,aspect:2.43,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904006.137238335] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=101, mask_px=151, contours=5, largest=area:25,box:6x6,aspect:1.00,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904006.400956704] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=105, mask_px=54, contours=2, largest=area:20,box:6x5,aspect:1.20,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904006.599715078] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=108, mask_px=48, contours=2, largest=area:20,box:6x5,aspect:1.20,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904006.799274936] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=111, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904007.066136725] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=115, mask_px=159, contours=5, largest=area:32,box:7x7,aspect:1.00,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904007.332833817] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=119, mask_px=218, contours=3, largest=area:128,box:18x11,aspect:1.64,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904007.534240174] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=122, mask_px=302, contours=6, largest=area:110,box:16x13,aspect:1.23,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904007.732948796] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=125, mask_px=300, contours=2, largest=area:140,box:20x11,aspect:1.82,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904007.934390737] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=128, mask_px=46, contours=1, largest=area:34,box:8x6,aspect:1.33,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904008.151644942] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=131, mask_px=70, contours=2, largest=area:28,box:8x5,aspect:1.60,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904008.400635413] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=135, mask_px=24, contours=1, largest=area:15,box:4x6,aspect:0.67,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904008.602847747] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=138, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904008.868198459] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=142, mask_px=30, contours=1, largest=area:20,box:6x5,aspect:1.20,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904009.068185911] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=145, mask_px=116, contours=2, largest=area:52,box:8x9,aspect:0.89,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904009.334514867] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=149, mask_px=75, contours=2, largest=area:28,box:7x6,aspect:1.17,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904009.535505680] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=152, mask_px=120, contours=1, largest=area:96,box:16x10,aspect:1.60,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904009.801160700] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=156, mask_px=102, contours=3, largest=area:25,box:6x6,aspect:1.00,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904010.004227601] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=159, mask_px=229, contours=4, largest=area:60,box:10x8,aspect:1.25,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904010.268795350] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=163, mask_px=96, contours=3, largest=area:25,box:6x6,aspect:1.00,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904010.536297293] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=167, mask_px=249, contours=4, largest=area:86,box:18x9,aspect:2.00,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904010.801495497] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=171, mask_px=162, contours=2, largest=area:110,box:10x20,aspect:0.50,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904011.001636952] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=174, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904011.202234118] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=177, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904011.402186049] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=180, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904011.602590236] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=183, mask_px=25, contours=1, largest=area:16,box:5x5,aspect:1.00,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904011.804477400] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=186, mask_px=170, contours=4, largest=area:47,box:12x8,aspect:1.50,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904012.069998406] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=190, mask_px=488, contours=4, largest=area:226,box:16x18,aspect:0.89,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904012.336442288] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=194, mask_px=18, contours=1, largest=area:10,box:6x3,aspect:2.00,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
