[WARN] [1784182851.759426595] [laserMapping]: Long Livox scan detected (47.9 ms span). Enabling adaptive 20 ms subframe splitting.
[INFO] [1784182851.801355644] [laserMapping]: IMU Initializing: 1.0 %
[WARN] [1784182851.801386505] [laserMapping]: Reset ImuProcess
[INFO] [1784182851.802732855] [laserMapping]: IMU Initializing: 17.0 %
[INFO] [1784182851.803737537] [laserMapping]: IMU Initializing: 41.0 %
[INFO] [1784182851.808825228] [laserMapping]: IMU Initializing: 71.0 %
[INFO] [1784182851.808856435] [laserMapping]: IMU Initializing: 100.0 %
[ERROR] [1784182869.620494722] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.624474823] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.633537251] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.635367433] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.640699121] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.644551149] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.650606214] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.654862612] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.660518176] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.664672519] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.670631134] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.674912223] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.680362492] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.684854564] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.690626082] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.694462403] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.701335036] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.705052626] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.710690123] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.715174737] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.720460681] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.724660987] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.730795861] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.734762240] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.740662445] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.744643019] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.750654388] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.754730669] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.760625590] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.764869662] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.770471335] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.774742708] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.780459472] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.784739746] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.790319420] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.794671987] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.800517193] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.804856159] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.810466017] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.814938952] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.820152537] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.824621868] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.830584216] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.834615530] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.840527140] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.844817734] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.850378779] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.854919725] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.860762530] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.864864652] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.870468903] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.874481147] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.880603306] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.884655528] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.890446355] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.895003147] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.900687730] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.904796127] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.910732424] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.914989197] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.920536226] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.924733494] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.930379420] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.934647963] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.940540930] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.944596192] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.950383654] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.954653016] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.960276416] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.964768720] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.970513937] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.974528678] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.980460866] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.984961922] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.990410749] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182869.994671196] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.000479600] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.004679220] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.010703702] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.015220648] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.020518961] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.024731208] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.031021620] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.034983534] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.040608749] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.045003934] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.050577250] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.054849106] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.060494100] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.064525520] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.070629050] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.074738245] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.080382736] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.084529662] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.090626191] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.094943366] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.100342189] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.104703509] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.110596230] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.114626027] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.120394458] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.124512304] [laserMapping]: imu loop back, clear deque
[ERROR] [1784182870.130730345] [laserMapping]: imu loop back, clear deque
