[INFO] [1783910597.066443519] [apriltag.apriltag]: camera_diag: img_age=0.060080s, ci_age=0.060080s, img_ci_skew=0.000000s, detect_ms=8.040539, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910598.123526928] [apriltag.apriltag]: camera_diag: img_age=-0.004848s, ci_age=-0.004848s, img_ci_skew=0.000000s, detect_ms=7.515695, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910599.121637896] [apriltag.apriltag]: camera_diag: img_age=-0.053239s, ci_age=-0.053239s, img_ci_skew=0.000000s, detect_ms=5.057313, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910600.390350212] [apriltag.apriltag]: camera_diag: img_age=-0.095715s, ci_age=-0.095715s, img_ci_skew=0.000000s, detect_ms=6.439206, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910601.389308966] [apriltag.apriltag]: camera_diag: img_age=-0.115475s, ci_age=-0.115475s, img_ci_skew=0.000000s, detect_ms=4.621881, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910602.591248370] [apriltag.apriltag]: camera_diag: img_age=-0.122722s, ci_age=-0.122722s, img_ci_skew=0.000000s, detect_ms=5.319600, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910603.594579313] [apriltag.apriltag]: camera_diag: img_age=-0.114788s, ci_age=-0.114788s, img_ci_skew=0.000000s, detect_ms=8.115107, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910604.725094028] [apriltag.apriltag]: camera_diag: img_age=-0.090485s, ci_age=-0.090485s, img_ci_skew=0.000000s, detect_ms=4.550864, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910605.793053500] [apriltag.apriltag]: camera_diag: img_age=-0.052747s, ci_age=-0.052747s, img_ci_skew=0.000000s, detect_ms=4.954915, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910606.927289940] [apriltag.apriltag]: camera_diag: img_age=0.003253s, ci_age=0.003253s, img_ci_skew=0.000000s, detect_ms=5.172687, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783910607.930560552] [apriltag.apriltag]: camera_diag: img_age=0.066645s, ci_age=0.066645s, img_ci_skew=0.000000s, detect_ms=6.928121, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
