[INFO] [1784182919.109812446] [apriltag.apriltag]: camera_diag: img_age=0.058593s, ci_age=0.058593s, img_ci_skew=0.000000s, detect_ms=8.809856, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182920.307171035] [apriltag.apriltag]: camera_diag: img_age=0.063591s, ci_age=0.063591s, img_ci_skew=0.000000s, detect_ms=4.395796, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182921.309737513] [apriltag.apriltag]: camera_diag: img_age=0.064553s, ci_age=0.064553s, img_ci_skew=0.000000s, detect_ms=5.970795, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182922.309823610] [apriltag.apriltag]: camera_diag: img_age=0.066702s, ci_age=0.066702s, img_ci_skew=0.000000s, detect_ms=5.126919, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182923.311456509] [apriltag.apriltag]: camera_diag: img_age=0.067126s, ci_age=0.067126s, img_ci_skew=0.000000s, detect_ms=5.765754, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182924.311513666] [apriltag.apriltag]: camera_diag: img_age=0.067815s, ci_age=0.067815s, img_ci_skew=0.000000s, detect_ms=4.209195, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182925.314272727] [apriltag.apriltag]: camera_diag: img_age=0.067716s, ci_age=0.067716s, img_ci_skew=0.000000s, detect_ms=5.979004, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182926.313852383] [apriltag.apriltag]: camera_diag: img_age=0.067265s, ci_age=0.067265s, img_ci_skew=0.000000s, detect_ms=5.100453, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182927.319724861] [apriltag.apriltag]: camera_diag: img_age=0.067102s, ci_age=0.067102s, img_ci_skew=0.000000s, detect_ms=9.140705, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182928.317469191] [apriltag.apriltag]: camera_diag: img_age=0.067103s, ci_age=0.067103s, img_ci_skew=0.000000s, detect_ms=5.994585, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182929.319111000] [apriltag.apriltag]: camera_diag: img_age=0.067230s, ci_age=0.067230s, img_ci_skew=0.000000s, detect_ms=6.512906, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182930.320231154] [apriltag.apriltag]: camera_diag: img_age=0.066532s, ci_age=0.066532s, img_ci_skew=0.000000s, detect_ms=7.705234, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182931.321681123] [apriltag.apriltag]: camera_diag: img_age=0.065699s, ci_age=0.065699s, img_ci_skew=0.000000s, detect_ms=7.930015, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182932.321262408] [apriltag.apriltag]: camera_diag: img_age=0.065757s, ci_age=0.065757s, img_ci_skew=0.000000s, detect_ms=6.866627, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784182935.523305903] [apriltag.apriltag]: camera_diag: img_age=0.065502s, ci_age=0.065502s, img_ci_skew=0.000000s, detect_ms=6.371778, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
